,name,tags,emoji
87,"An annoyed face with furrowed brows and a frown, indicating irritation or anger.","['angry', 'face']",???
88,"An angry face with a censored mouth, likely expressing strong frustration or expletives.","['serious', 'face', 'symbols', 'covering', 'mouth']",???
89,A mischievous devilish face with a playful smirk and devil horns.,"['smiling', 'face', 'horns']",???
90,"An angry devilish face with furrowed brows and devil horns, showing a more intense anger.",[],?維?
91,"A white skull emoji, similar to the first but with a more neutral tone.",['skull'],??
92,"A skull and crossbones emoji, frequently associated with pirates or danger.","['skull', 'crossbones']",??
93,"A cute poop emoji with a big smile, used to add humor to conversations.","['pile', 'poo']",?裕?
94,A playful clown face emoji with exaggerated features and a big red nose.,"['clown', 'face']",???
95,"A mischievous devil face emoji with fangs, symbolizing playful or naughty behavior.","['japanese', 'ogre']",?維?
96,"A red demon mask emoji, conveying a sense of anger or villainous nature.",['japanese'],?維?
97,"A playful ghost emoji, sticking out its tongue and giving off a friendly vibe.",['ghost'],?維?
98,"A smiling alien face emoji, suggesting something otherworldly or quirky.","['extraterrestrial', 'alien']",?維?
99,"A pixelated alien face, reminiscent of retro video games.",['monster'],?維?
100," A robot face emoji, symbolizing technology or mechanical beings.","['robot', 'face']",?夷?
101," A monkey covering its eyes with hands, expressing shyness or embarrassment.","['smiling', 'cat', 'face', 'open', 'mouth']",???
102," A monkey holding its head, possibly expressing confusion or surprise.","['grinning', 'cat', 'smiling', 'eyes']",???
103," A monkey covering its mouth, symbolizing secrecy or silence.","['cat', 'tears', 'joy']",???
104," Red lipstick kiss mark, often representing love or affection.","['smiling', 'cat', 'face', 'heart', 'shaped', 'eyes']",???
105," An envelope with a heart on it, symbolizing love letters or romantic messages.","['cat', 'wry', 'smile']",???
106," A pink heart with an arrow through it, symbolizing love or affection.","['kissing', 'cat', 'face', 'closed', 'eyes']",???
107," A gift-wrapped heart, symbolizing a present or a romantic gesture.","['weary', 'cat', 'face']",??
108," A sparkling pink heart, representing love or positive feelings.","['crying', 'cat', 'face']",???
109," A heart with dashed lines, indicating a broken heart or lost love.","['pouting', 'cat', 'face']",???
110," Two spinning hearts, symbolizing love or connection between people.","['evil', 'monkey']",???
111," Two pink hearts of different sizes, symbolizing love or affection.","['evil', 'monkey']",???
112," A purple heart, often representing compassion or calm love.","['evil', 'monkey']",???
113," A black heart, often used to express sorrow or deep emotions.",['mark'],?萸?
114," The number 100, symbolizing something perfect or complete.","['love', 'letter']",?萸?
115," Red anger symbols, often representing frustration or rage.","['heart', 'arrow']",?裕?
116," An explosion symbol, conveying shock, impact, or excitement.","['heart', 'ribbon']",?裕?
117," A shooting star, representing wishes or dreams.","['sparkling', 'heart']",?裕?
118," Blue teardrops, symbolizing sadness or crying.","['growing', 'heart']",?裕?
119," A cloud burst, representing confusion or daydreaming.","['beating', 'heart']",?裕?
120," A series of Zs, symbolizing sleep or tiredness.","['revolving', 'hearts']",?裕?
121," A waving hand emoji, symbolizing a greeting or goodbye.",['hearts'],?裕?
122," A hand waving, expressing a friendly greeting.","['heart', 'decoration']",?裕?
123," A hand waving, symbolizing a casual hello or goodbye.","['heavy', 'heart', 'exclamation', 'mark', 'ornament']",??
124," A hand waving, a gesture of parting or greeting.","['broken', 'heart']",?裕?
125," A white speech bubble, often used to signify speech or conversation.","['heavy', 'black', 'heart']",??
126," A speech bubble with an eye, showing surprise or attention.",['heart'],???
127," A speech bubble, typically used to represent communication or conversation.","['yellow', 'heart']",?裕?
128," A star-shaped burst, indicating excitement or surprise.","['green', 'heart']",?裕?
129," A cloud thought bubble, symbolizing thinking or pondering.","['blue', 'heart']",?裕?
130," A 'Zzz' symbol, representing sleep or tiredness.","['purple', 'heart']",?裕?
131," A waving hand emoji, symbolizing saying hello or goodbye.","['black', 'heart']",?堉?
132," A waving hand, used to greet someone or say farewell.","['hundred', 'points', 'symbol']",?裕?
133," A waving hand emoji, expressing friendliness.","['anger', 'symbol']",?裕?
134," A waving hand emoji, symbolizing a casual greeting.","['collision', 'symbol']",?裕?
135," A purple heart, representing compassion or calm love.","['dizzy', 'symbol']",?裕?
136," A black heart, often used to express sorrow or deep emotions.","['splashing', 'sweat', 'symbol']",?裕?
137," A red heart with an exclamation point, indicating strong love or affection.","['dash', 'symbol']",?裕?
138," A broken red heart, symbolizing heartache or sorrow.",['hole'],?鍮?
139," A red heart, symbolizing love and passion.",['bomb'],?裕?
140," An orange heart, expressing warmth or friendship.",['balloon'],?裕?
141," A yellow heart, symbolizing happiness and friendship.","['eye', 'speech', 'bubble']",?紐볠닼琉는?낆쐫?⑦닔
142," A green heart, representing a sense of nature or balance.","['speech', 'bubble']",?肉?
143," A blue heart, often used to convey peace or calm.","['right', 'anger', 'bubble']",?肉?
144," A purple heart, symbolizing compassion or deep emotional connection.","['thought', 'balloon']",?裕?
145," A black heart, symbolizing dark or deep emotions.","['sleeping', 'symbol']",?裕?
146," A white heart, symbolizing purity or clarity.","['waving', 'hand', 'sign']",?紐?
147," A gray heart, symbolizing neutrality or sadness.","['waving', 'hand', 'sign']",?紐?琉?
148," A yellow heart, expressing joy or warmth.","['waving', 'hand', 'sign']",?紐?琉?
149," A green heart, symbolizing love for nature or friendship.","['waving', 'hand', 'sign']",?紐?琉?
150,waving hand sign,"['waving', 'hand', 'sign']",?紐?琉?
151,waving hand sign,"['waving', 'hand', 'sign']",?紐?琉?
152,raised back of hand,"['raised', 'back', 'hand']",?姨
153,raised back of hand,"['raised', 'back', 'hand']",?姨?琉?
154,raised back of hand,"['raised', 'back', 'hand']",?姨?琉?
155,raised back of hand,"['raised', 'back', 'hand']",?姨?琉?
156,raised back of hand,"['raised', 'back', 'hand']",?姨?琉?
157,raised back of hand,"['raised', 'back', 'hand']",?姨?琉?
158,raised hand with fingers splayed,"['raised', 'hand', 'fingers', 'splayed']",?堉?
159,raised hand with fingers splayed,"['raised', 'hand', 'fingers', 'splayed']",?堉?琉?
160,raised hand with fingers splayed,"['raised', 'hand', 'fingers', 'splayed']",?堉?琉?
161,raised hand with fingers splayed,"['raised', 'hand', 'fingers', 'splayed']",?堉?琉?
162,raised hand with fingers splayed,"['raised', 'hand', 'fingers', 'splayed']",?堉?琉?
163,raised hand with fingers splayed,"['raised', 'hand', 'fingers', 'splayed']",?堉?琉?
164,raised hand,"['raised', 'hand']",??
165,raised hand,"['raised', 'hand']",??깆쐠?
166,raised hand,"['raised', 'hand']",??깆쐠?
167,raised hand,"['raised', 'hand']",??깆쐠?
168,raised hand,"['raised', 'hand']",??깆쐠?
169,raised hand,"['raised', 'hand']",??깆쐠?
170,raised hand with part between middle and ring fingers,"['raised', 'hand', 'part', 'middle', 'ring', 'fingers']",?堉?
171,raised hand with part between middle and ring fingers,"['raised', 'hand', 'part', 'middle', 'ring', 'fingers']",?堉?琉?
172,raised hand with part between middle and ring fingers,"['raised', 'hand', 'part', 'middle', 'ring', 'fingers']",?堉?琉?
173,raised hand with part between middle and ring fingers,"['raised', 'hand', 'part', 'middle', 'ring', 'fingers']",?堉?琉?
174,raised hand with part between middle and ring fingers,"['raised', 'hand', 'part', 'middle', 'ring', 'fingers']",?堉?琉?
175,raised hand with part between middle and ring fingers,"['raised', 'hand', 'part', 'middle', 'ring', 'fingers']",?堉?琉?
176,ok hand sign,"['ok', 'hand', 'sign']",?紐?
177,ok hand sign,"['ok', 'hand', 'sign']",?紐?琉?
178,ok hand sign,"['ok', 'hand', 'sign']",?紐?琉?
179,ok hand sign,"['ok', 'hand', 'sign']",?紐?琉?
180,ok hand sign,"['ok', 'hand', 'sign']",?紐?琉?
181,ok hand sign,"['ok', 'hand', 'sign']",?紐?琉?
182,victory hand,"['victory', 'hand']",??
183,victory hand,"['victory', 'hand']",??댁쐠?
184,victory hand,"['victory', 'hand']",??댁쐠?
185,victory hand,"['victory', 'hand']",??댁쐠?
186,victory hand,"['victory', 'hand']",??댁쐠?
187,victory hand,"['victory', 'hand']",??댁쐠?
188,hand with index and middle fingers crossed,"['hand', 'index', 'middle', 'fingers', 'crossed']",?姨?
189,hand with index and middle fingers crossed,"['hand', 'index', 'middle', 'fingers', 'crossed']",?姨?琉?
190,hand with index and middle fingers crossed,"['hand', 'index', 'middle', 'fingers', 'crossed']",?姨?琉?
191,hand with index and middle fingers crossed,"['hand', 'index', 'middle', 'fingers', 'crossed']",?姨?琉?
192,hand with index and middle fingers crossed,"['hand', 'index', 'middle', 'fingers', 'crossed']",?姨?琉?
193,hand with index and middle fingers crossed,"['hand', 'index', 'middle', 'fingers', 'crossed']",?姨?琉?
194,i love you hand sign,"['hand', 'sign']",?姨?
195,i love you hand sign,"['hand', 'sign']",?姨?琉?
196,i love you hand sign,"['hand', 'sign']",?姨?琉?
197,i love you hand sign,"['hand', 'sign']",?姨?琉?
198,i love you hand sign,"['hand', 'sign']",?姨?琉?
199,i love you hand sign,"['hand', 'sign']",?姨?琉?
200,sign of the horns,"['sign', 'horns']",?夷?
201,sign of the horns,"['sign', 'horns']",?夷?琉?
202,sign of the horns,"['sign', 'horns']",?夷?琉?
203,sign of the horns,"['sign', 'horns']",?夷?琉?
204,sign of the horns,"['sign', 'horns']",?夷?琉?
205,sign of the horns,"['sign', 'horns']",?夷?琉?
206,call me hand,['hand'],?夷?
207,call me hand,['hand'],?夷?琉?
208,call me hand,['hand'],?夷?琉?
209,call me hand,['hand'],?夷?琉?
210,call me hand,['hand'],?夷?琉?
211,call me hand,['hand'],?夷?琉?
212,white left pointing backhand index,"['pointing', 'index']",?紐?
213,white left pointing backhand index,"['pointing', 'index']",?紐?琉?
214,white left pointing backhand index,"['pointing', 'index']",?紐?琉?
215,white left pointing backhand index,"['pointing', 'index']",?紐?琉?
216,white left pointing backhand index,"['pointing', 'index']",?紐?琉?
217,white left pointing backhand index,"['pointing', 'index']",?紐?琉?
218,white right pointing backhand index,"['white', 'right', 'pointing', 'index']",?紐?
219,white right pointing backhand index,"['white', 'right', 'pointing', 'index']",?紐?琉?
220,white right pointing backhand index,"['white', 'right', 'pointing', 'index']",?紐?琉?
221,white right pointing backhand index,"['white', 'right', 'pointing', 'index']",?紐?琉?
222,white right pointing backhand index,"['white', 'right', 'pointing', 'index']",?紐?琉?
223,white right pointing backhand index,"['white', 'right', 'pointing', 'index']",?紐?琉?
224,white up pointing backhand index,"['white', 'pointing', 'index']",?紐?
225,white up pointing backhand index,"['white', 'pointing', 'index']",?紐?琉?
226,white up pointing backhand index,"['white', 'pointing', 'index']",?紐?琉?
227,white up pointing backhand index,"['white', 'pointing', 'index']",?紐?琉?
228,white up pointing backhand index,"['white', 'pointing', 'index']",?紐?琉?
229,white up pointing backhand index,"['white', 'pointing', 'index']",?紐?琉?
230,reversed hand with middle finger extended,"['reversed', 'hand', 'middle', 'finger', 'extended']",?堉?
231,reversed hand with middle finger extended,"['reversed', 'hand', 'middle', 'finger', 'extended']",?堉?琉?
232,reversed hand with middle finger extended,"['reversed', 'hand', 'middle', 'finger', 'extended']",?堉?琉?
233,reversed hand with middle finger extended,"['reversed', 'hand', 'middle', 'finger', 'extended']",?堉?琉?
234,reversed hand with middle finger extended,"['reversed', 'hand', 'middle', 'finger', 'extended']",?堉?琉?
235,reversed hand with middle finger extended,"['reversed', 'hand', 'middle', 'finger', 'extended']",?堉?琉?
236,white down pointing backhand index,"['white', 'pointing', 'index']",?紐?
237,white down pointing backhand index,"['white', 'pointing', 'index']",?紐?琉?
238,white down pointing backhand index,"['white', 'pointing', 'index']",?紐?琉?
239,white down pointing backhand index,"['white', 'pointing', 'index']",?紐?琉?
240,white down pointing backhand index,"['white', 'pointing', 'index']",?紐?琉?
241,white down pointing backhand index,"['white', 'pointing', 'index']",?紐?琉?
242,white up pointing index,"['white', 'pointing', 'index']",??
243,white up pointing index,"['white', 'pointing', 'index']",??우쐠?
244,white up pointing index,"['white', 'pointing', 'index']",??우쐠?
245,white up pointing index,"['white', 'pointing', 'index']",??우쐠?
246,white up pointing index,"['white', 'pointing', 'index']",??우쐠?
247,white up pointing index,"['white', 'pointing', 'index']",??우쐠?
248,thumbs up sign,['sign'],?紐?
249,thumbs up sign,['sign'],?紐?琉?
250,thumbs up sign,['sign'],?紐?琉?
251,thumbs up sign,['sign'],?紐?琉?
252,thumbs up sign,['sign'],?紐?琉?
253,thumbs up sign,['sign'],?紐?琉?
254,thumbs down sign,['sign'],?紐?
255,thumbs down sign,['sign'],?紐?琉?
256,thumbs down sign,['sign'],?紐?琉?
257,thumbs down sign,['sign'],?紐?琉?
258,thumbs down sign,['sign'],?紐?琉?
259,thumbs down sign,['sign'],?紐?琉?
260,raised fist,"['raised', 'fist']",??
261,raised fist,"['raised', 'fist']",??딆쐠?
262,raised fist,"['raised', 'fist']",??딆쐠?
263,raised fist,"['raised', 'fist']",??딆쐠?
264,raised fist,"['raised', 'fist']",??딆쐠?
265,raised fist,"['raised', 'fist']",??딆쐠?
266,fisted hand sign,"['fisted', 'hand', 'sign']",?紐?
267,fisted hand sign,"['fisted', 'hand', 'sign']",?紐?琉?
268,fisted hand sign,"['fisted', 'hand', 'sign']",?紐?琉?
269,fisted hand sign,"['fisted', 'hand', 'sign']",?紐?琉?
270,fisted hand sign,"['fisted', 'hand', 'sign']",?紐?琉?
271,fisted hand sign,"['fisted', 'hand', 'sign']",?紐?琉?
272,left facing fist,"['facing', 'fist']",?姨?
273,left facing fist,"['facing', 'fist']",?姨?琉?
274,left facing fist,"['facing', 'fist']",?姨?琉?
275,left facing fist,"['facing', 'fist']",?姨?琉?
276,left facing fist,"['facing', 'fist']",?姨?琉?
277,left facing fist,"['facing', 'fist']",?姨?琉?
278,right facing fist,"['right', 'facing', 'fist']",?姨?
279,right facing fist,"['right', 'facing', 'fist']",?姨?琉?
280,right facing fist,"['right', 'facing', 'fist']",?姨?琉?
281,right facing fist,"['right', 'facing', 'fist']",?姨?琉?
282,right facing fist,"['right', 'facing', 'fist']",?姨?琉?
283,right facing fist,"['right', 'facing', 'fist']",?姨?琉?
284,clapping hands sign,"['clapping', 'hands', 'sign']",?紐?
285,clapping hands sign,"['clapping', 'hands', 'sign']",?紐?琉?
286,clapping hands sign,"['clapping', 'hands', 'sign']",?紐?琉?
287,clapping hands sign,"['clapping', 'hands', 'sign']",?紐?琉?
288,clapping hands sign,"['clapping', 'hands', 'sign']",?紐?琉?
289,clapping hands sign,"['clapping', 'hands', 'sign']",?紐?琉?
290,person raising both hands in celebration,"['person', 'raising', 'hands', 'celebration']",???
291,person raising both hands in celebration,"['person', 'raising', 'hands', 'celebration']",???琉?
292,person raising both hands in celebration,"['person', 'raising', 'hands', 'celebration']",???琉?
293,person raising both hands in celebration,"['person', 'raising', 'hands', 'celebration']",???琉?
294,person raising both hands in celebration,"['person', 'raising', 'hands', 'celebration']",???琉?
295,person raising both hands in celebration,"['person', 'raising', 'hands', 'celebration']",???琉?
296,open hands sign,"['open', 'hands', 'sign']",?紐?
297,open hands sign,"['open', 'hands', 'sign']",?紐?琉?
298,open hands sign,"['open', 'hands', 'sign']",?紐?琉?
299,open hands sign,"['open', 'hands', 'sign']",?紐?琉?
300,open hands sign,"['open', 'hands', 'sign']",?紐?琉?
301,open hands sign,"['open', 'hands', 'sign']",?紐?琉?
302,palms up together,"['palms', 'up', 'together']",???
303,palms up together,"['palms', 'up', 'together']",???琉?
304,palms up together,"['palms', 'up', 'together']",???琉?
305,palms up together,"['palms', 'up', 'together']",???琉?
306,palms up together,"['palms', 'up', 'together']",???琉?
307,palms up together,"['palms', 'up', 'together']",???琉?
308,handshake,[],?姨?
309,person with folded hands,"['person', 'folded', 'hands']",???
310,person with folded hands,"['person', 'folded', 'hands']",???琉?
311,person with folded hands,"['person', 'folded', 'hands']",???琉?
312,person with folded hands,"['person', 'folded', 'hands']",???琉?
313,person with folded hands,"['person', 'folded', 'hands']",???琉?
314,person with folded hands,"['person', 'folded', 'hands']",???琉?
315,writing hand,"['writing', 'hand']",??
316,writing hand,"['writing', 'hand']",??낆쐠?
317,writing hand,"['writing', 'hand']",??낆쐠?
318,writing hand,"['writing', 'hand']",??낆쐠?
319,writing hand,"['writing', 'hand']",??낆쐠?
320,writing hand,"['writing', 'hand']",??낆쐠?
321,nail polish,"['nail', 'polish']",?萸?
322,nail polish,"['nail', 'polish']",?萸?琉?
323,nail polish,"['nail', 'polish']",?萸?琉?
324,nail polish,"['nail', 'polish']",?萸?琉?
325,nail polish,"['nail', 'polish']",?萸?琉?
326,nail polish,"['nail', 'polish']",?萸?琉?
327,selfie,['selfie'],???
328,selfie,['selfie'],???琉?
329,selfie,['selfie'],???琉?
330,selfie,['selfie'],???琉?
331,selfie,['selfie'],???琉?
332,selfie,['selfie'],???琉?
333,flexed biceps,"['flexed', 'biceps']",?裕?
334,flexed biceps,"['flexed', 'biceps']",?裕?琉?
335,flexed biceps,"['flexed', 'biceps']",?裕?琉?
336,flexed biceps,"['flexed', 'biceps']",?裕?琉?
337,flexed biceps,"['flexed', 'biceps']",?裕?琉?
338,flexed biceps,"['flexed', 'biceps']",?裕?琉?
339,leg,[],???
340,leg,[],???琉?
341,leg,[],???琉?
342,leg,[],???琉?
343,leg,[],???琉?
344,leg,[],???琉?
345,foot,['foot'],???
346,foot,['foot'],???琉?
347,foot,['foot'],???琉?
348,foot,['foot'],???琉?
349,foot,['foot'],???琉?
350,foot,['foot'],???琉?
351,ear,[],?紐?
352,ear,[],?紐?琉?
353,ear,[],?紐?琉?
354,ear,[],?紐?琉?
355,ear,[],?紐?琉?
356,ear,[],?紐?琉?
357,nose,['nose'],?紐?
358,nose,['nose'],?紐?琉?
359,nose,['nose'],?紐?琉?
360,nose,['nose'],?紐?琉?
361,nose,['nose'],?紐?琉?
362,nose,['nose'],?紐?琉?
363,brain,['brain'],?彛?
364,tooth,[],???
365,bone,['bone'],???
366,eyes,['eyes'],??
367,eye,['eye'],?紐?
368,tongue,['tongue'],?紐?
369,mouth,['mouth'],?紐?
370,baby,['baby'],?維?
371,baby,['baby'],?維?琉?
372,baby,['baby'],?維?琉?
373,baby,['baby'],?維?琉?
374,baby,['baby'],?維?琉?
375,baby,['baby'],?維?琉?
376,child,['child'],?彛?
377,child,['child'],?彛?琉?
378,child,['child'],?彛?琉?
379,child,['child'],?彛?琉?
380,child,['child'],?彛?琉?
381,child,['child'],?彛?琉?
382,boy,['boy'],?維?
383,boy,['boy'],?維?琉?
384,boy,['boy'],?維?琉?
385,boy,['boy'],?維?琉?
386,boy,['boy'],?維?琉?
387,boy,['boy'],?維?琉?
388,girl,['girl'],?維?
389,girl,['girl'],?維?琉?
390,girl,['girl'],?維?琉?
391,girl,['girl'],?維?琉?
392,girl,['girl'],?維?琉?
393,girl,['girl'],?維?琉?
394,adult,['adult'],?彛?
395,adult,['adult'],?彛?琉?
396,adult,['adult'],?彛?琉?
397,adult,['adult'],?彛?琉?
398,adult,['adult'],?彛?琉?
399,adult,['adult'],?彛?琉?
400,person with blond hair,"['person', 'blond', 'hair']",?維?
401,person with blond hair,"['person', 'blond', 'hair']",?維?琉?
402,person with blond hair,"['person', 'blond', 'hair']",?維?琉?
403,person with blond hair,"['person', 'blond', 'hair']",?維?琉?
404,person with blond hair,"['person', 'blond', 'hair']",?維?琉?
405,person with blond hair,"['person', 'blond', 'hair']",?維?琉?
406,man,['man'],?維?
407,man,['man'],?維?琉?
408,man,['man'],?維?琉?
409,man,['man'],?維?琉?
410,man,['man'],?維?琉?
411,man,['man'],?維?琉?
412,bearded person,"['bearded', 'person']",?彛?
413,bearded person,"['bearded', 'person']",?彛?琉?
414,bearded person,"['bearded', 'person']",?彛?琉?
415,bearded person,"['bearded', 'person']",?彛?琉?
416,bearded person,"['bearded', 'person']",?彛?琉?
417,bearded person,"['bearded', 'person']",?彛?琉?
418,blond man,"['blond', 'man']",?維???끋??
419,blond man type 1 2,"['blond', 'man', 'type']",?維?琉???끋??
420,blond man type 3,"['blond', 'man', 'type']",?維?琉???끋??
421,blond man type 4,"['blond', 'man', 'type']",?維?琉???끋??
422,blond man type 5,"['blond', 'man', 'type']",?維?琉???끋??
423,blond man type 6,"['blond', 'man', 'type']",?維?琉???끋??
424,man red haired,"['man', 'red', 'haired']",?維??낆쑆?
425,man red haired light skin tone,"['man', 'red', 'haired', 'light', 'skin', 'tone']",?維?琉??낆쑆?
426,man red haired medium light skin tone,"['man', 'red', 'haired', 'medium', 'light', 'skin', 'tone']",?維?琉??낆쑆?
427,man red haired medium skin tone,"['man', 'red', 'haired', 'medium', 'skin', 'tone']",?維?琉??낆쑆?
428,man red haired dark skin tone,"['man', 'red', 'haired', 'dark', 'skin', 'tone']",?維?琉??낆쑆?
429,man red haired medium dark skin tone,"['man', 'red', 'haired', 'medium', 'dark', 'skin', 'tone']",?維?琉??낆쑆?
430,man curly haired,"['man', 'curly', 'haired']",?維??낆쑆?
431,man curly haired light skin tone,"['man', 'curly', 'haired', 'light', 'skin', 'tone']",?維?琉??낆쑆?
432,man curly haired medium light skin tone,"['man', 'curly', 'haired', 'medium', 'light', 'skin', 'tone']",?維?琉??낆쑆?
433,man curly haired medium skin tone,"['man', 'curly', 'haired', 'medium', 'skin', 'tone']",?維?琉??낆쑆?
434,man curly haired medium dark skin tone,"['man', 'curly', 'haired', 'medium', 'dark', 'skin', 'tone']",?維?琉??낆쑆?
435,man curly haired dark skin tone,"['man', 'curly', 'haired', 'dark', 'skin', 'tone']",?維?琉??낆쑆?
436,man white haired,"['man', 'haired']",?維??낆쑆?
437,man white haired light skin tone,"['man', 'white', 'haired', 'light', 'skin', 'tone']",?維?琉??낆쑆?
438,man white haired medium light skin tone,"['man', 'white', 'haired', 'medium', 'light', 'skin', 'tone']",?維?琉??낆쑆?
439,man white haired medium skin tone,"['man', 'white', 'haired', 'medium', 'skin', 'tone']",?維?琉??낆쑆?
440,man white haired medium dark skin tone,"['man', 'white', 'haired', 'medium', 'dark', 'skin', 'tone']",?維?琉??낆쑆?
441,man white haired dark skin tone,"['man', 'haired', 'dark', 'skin', 'tone']",?維?琉??낆쑆?
442,man bald,['man'],?維??낆쑆?
